"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"FinancialReceipt","FinancialReceipt","","","",0,*,"","","","null {[]} {[]}
","Financial Receipt","A logical model for over-the-counter (OTC) health-related purchase receipts. Captures expenses for items such as pharmacy purchases, medical supplies, copays, and wellness products that may not generate a formal insurance Claim resource.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"FinancialReceipt.subject","FinancialReceipt.subject","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Patient]]}
","The patient or person that purchased the item","The patient or person that purchased the item","","","","","","","","","",,,,,"",,,,"FinancialReceipt.subject",1,1,"",""
"FinancialReceipt.date","FinancialReceipt.date","","","",1,1,"","","","dateTime {[]} {[]}
","The date of the transaction","The date of the transaction","","","","","","","","","",,,,,"",,,,"FinancialReceipt.date",1,1,"",""
"FinancialReceipt.vendor","FinancialReceipt.vendor","","","",0,1,"","","","string {[]} {[]}
","Vendor or merchant name","Vendor or merchant name","","","","","","","","","",,,,,"",,,,"FinancialReceipt.vendor",0,1,"",""
"FinancialReceipt.category","FinancialReceipt.category","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Category of expense (e.g. pharmacy, medical supply, copay, wellness)","Category of expense (e.g. pharmacy, medical supply, copay, wellness)","","","","","","","","","",,,,,"",,,,"FinancialReceipt.category",0,1,"",""
"FinancialReceipt.item","FinancialReceipt.item","","","",0,*,"","","","BackboneElement {[]} {[]}
","Line items on the receipt","Line items on the receipt","","","","","","","","","",,,,,"",,,,"FinancialReceipt.item",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"FinancialReceipt.item.id","FinancialReceipt.item.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"FinancialReceipt.item.extension","FinancialReceipt.item.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"FinancialReceipt.item.modifierExtension","FinancialReceipt.item.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"FinancialReceipt.item.description","FinancialReceipt.item.description","","","",1,1,"","","","string {[]} {[]}
","Item description","Item description","","","","","","","","","",,,,,"",,,,"FinancialReceipt.item.description",1,1,"",""
"FinancialReceipt.item.quantity","FinancialReceipt.item.quantity","","","",0,1,"","","","Quantity {[CanonicalType[http://hl7.org/fhir/StructureDefinition/SimpleQuantity]]} {[]}
","Quantity purchased","Quantity purchased","","","","","","","","","",,,,,"",,,,"FinancialReceipt.item.quantity",0,1,"",""
"FinancialReceipt.item.unitPrice","FinancialReceipt.item.unitPrice","","","",0,1,"","","","Money {[]} {[]}
","Price per unit","Price per unit","","","","","","","","","",,,,,"",,,,"FinancialReceipt.item.unitPrice",0,1,"",""
"FinancialReceipt.item.amount","FinancialReceipt.item.amount","","","",0,1,"","","","Money {[]} {[]}
","Line item total","Line item total","","","","","","","","","",,,,,"",,,,"FinancialReceipt.item.amount",0,1,"",""
"FinancialReceipt.subtotal","FinancialReceipt.subtotal","","","",0,1,"","","","Money {[]} {[]}
","Subtotal before tax","Subtotal before tax","","","","","","","","","",,,,,"",,,,"FinancialReceipt.subtotal",0,1,"",""
"FinancialReceipt.taxAmount","FinancialReceipt.taxAmount","","","",0,1,"","","","Money {[]} {[]}
","Tax amount","Tax amount","","","","","","","","","",,,,,"",,,,"FinancialReceipt.taxAmount",0,1,"",""
