URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.org/fhir/uv/phr/CodeSystem/appetite-changes-codes,1.0.0-ballot2,active,,AppetiteChanges,Appetite Changes Codes,"Codes expressing changes in appetite",
http://hl7.org/fhir/uv/phr/CodeSystem/body-posture-codes,1.0.0-ballot2,active,,BodyPosture,Body Posture Codes,"Code for posture",
http://hl7.org/fhir/uv/phr/CodeSystem/body-temperature-measurement-location-codes,1.0.0-ballot2,active,,BodyTemperatureMeasurementLocation,Body Temperature Measurement Location Codes,"Code indicating the location where the body temperature was measured",
http://hl7.org/fhir/uv/phr/CodeSystem/ecg-classification-codes,1.0.0-ballot2,active,,EcgClassification,ECG Classification Codes,"Codes for classification of ECG waveforms",
http://hl7.org/fhir/uv/phr/CodeSystem/ecg-codes,1.0.0-ballot2,active,,Ecg,ECG Classification Codes,"Codes for ECG and related items",
http://hl7.org/fhir/uv/phr/CodeSystem/ecg-lead-codes,1.0.0-ballot2,active,,EcgLead,ECG Lead Codes,"Codes for ECG induction",
http://hl7.org/fhir/uv/phr/CodeSystem/ecg-symptoms-status-codes,1.0.0-ballot2,active,,EcgSymptomsStatus,ECG Symptoms Status Codes,"Code indicating whether or not the user's symptoms are input during ECG waveform acquisition",
http://hl7.org/fhir/uv/phr/CodeSystem/gad7-risk-codes,1.0.0-ballot2,active,,GAD7Risk,GAD-7 Assesment Risk Codes,"Code for GAD-7 Assesment Risk",
http://hl7.org/fhir/uv/phr/CodeSystem/hearing-sensitivity-codes,1.0.0-ballot2,active,,HearingSensitivity,Hearing Sensitivity Codes,"Code indicating the type of value of the hearing test result",
http://hl7.org/fhir/uv/phr/CodeSystem/observation-pghd-codes,1.0.0-ballot2,active,,ObservationPGHD,Observation PGHD Codes,"Code defining the type of PGHD data",
http://hl7.org/fhir/uv/phr/CodeSystem/phq9-risk-codes,1.0.0-ballot2,active,,PHQ9Risk,PHQ-9 Assesment Risk Codes,"Code for PHQ-9 Assesment Risk",
http://hl7.org/fhir/uv/phr/CodeSystem/presence-codes,1.0.0-ballot2,active,,SymptomPresence,Symptom Presence Codes,"Code for presence or absence of symptoms",
http://hl7.org/fhir/uv/phr/CodeSystem/scored-assessment-codes,1.0.0-ballot2,active,,ScoredAssessment,Scored Assessment Codes,"Code for scored assessment",
http://hl7.org/fhir/uv/phr/CodeSystem/sleep-analysis-codes,1.0.0-ballot2,active,,SleepAnalysis,Sleep Analysis Codes,"Codes for stages of sleep",
http://hl7.org/fhir/uv/phr/CodeSystem/sleep-episode-codes,1.0.0-ballot2,active,,SleepEpisode,Sleep Episode Codes,"Codes for sleep episodes",
http://hl7.org/fhir/uv/phr/CodeSystem/snore-event-item-codes,1.0.0-ballot2,active,,SnoreEventItem,Snore Event Item Codes,"Code representing the measurement used in the snoring event",
http://hl7.org/fhir/uv/phr/CodeSystem/state-of-mind-association-codes,1.0.0-ballot2,active,,StateOfMindAssociation,State of Mind Association Codes,"Codes for state of mind association",
http://hl7.org/fhir/uv/phr/CodeSystem/state-of-mind-codes,1.0.0-ballot2,active,,StateOfMind,State of Mind Codes,"Code for state of mind",
http://hl7.org/fhir/uv/phr/CodeSystem/state-of-mind-kind-codes,1.0.0-ballot2,active,,StateOfMindKind,State of Mind Kind Codes,"Codes for state of mind kind",
http://hl7.org/fhir/uv/phr/CodeSystem/state-of-mind-label-codes,1.0.0-ballot2,active,,StateOfMindLabel,State of Mind Label Codes,"Codes for state of mind label",
http://hl7.org/fhir/uv/phr/CodeSystem/state-of-mind-valence-codes,1.0.0-ballot2,active,,StateOfMindValence,State of Mind Valence Codes,"Codes for state of mind valence",
http://hl7.org/fhir/uv/phr/CodeSystem/symptom-severity-codes,1.0.0-ballot2,active,,SymptomSeverity,Symptom Severity Codes,"Code for degree of symptoms",
