"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"SocialMedia","SocialMedia","","","",0,*,"","","","null {[]} {[]}
","Social Media Post","A logical model representing a social media post from platforms such as Facebook, Instagram, Twitter/X, Tumblr, etc. Captures the post content, media attachments, and metadata. Relevant for patient-reported outcomes, behavioral health context, and longitudinal health narratives.","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"SocialMedia.subject","SocialMedia.subject","","","",1,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Patient]]}
","The patient who authored or owns the post","The patient who authored or owns the post","","","","","","","","","",,,,,"",,,,"SocialMedia.subject",1,1,"",""
"SocialMedia.platform","SocialMedia.platform","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Social media platform (e.g. Facebook, Instagram, Twitter/X, Tumblr)","Social media platform (e.g. Facebook, Instagram, Twitter/X, Tumblr)","","","","","","","","","",,,,,"",,,,"SocialMedia.platform",0,1,"",""
"SocialMedia.postDateTime","SocialMedia.postDateTime","","","",0,1,"","","","dateTime {[]} {[]}
","Date and time the post was published","Date and time the post was published","","","","","","","","","",,,,,"",,,,"SocialMedia.postDateTime",0,1,"",""
"SocialMedia.title","SocialMedia.title","","","",0,1,"","","","string {[]} {[]}
","Title or headline of the post, if applicable","Title or headline of the post, if applicable","","","","","","","","","",,,,,"",,,,"SocialMedia.title",0,1,"",""
"SocialMedia.body","SocialMedia.body","","","",0,1,"","","","markdown {[]} {[]}
","Text body or description of the post","Text body or description of the post","","","","","","","","","",,,,,"",,,,"SocialMedia.body",0,1,"",""
"SocialMedia.url","SocialMedia.url","","","",0,1,"","","","url {[]} {[]}
","URL link to the original post","URL link to the original post","","","","","","","","","",,,,,"",,,,"SocialMedia.url",0,1,"",""
"SocialMedia.media","SocialMedia.media","","","",0,*,"","","","BackboneElement {[]} {[]}
","Media attachments on the post","Media attachments on the post","","","","","","","","","",,,,,"",,,,"SocialMedia.media",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"SocialMedia.media.id","SocialMedia.media.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"SocialMedia.media.extension","SocialMedia.media.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
